Connecticut Constitution vs RI Rampage,,,,,
Player Name,Number,Assists,Goals,Turnovers,Defenses
Christian Gaffney,0,0,0,0,0
Brent Anderson,2,6,2,5,2
Nick Judson,4,1,,3,
Dwight Harris,5,,2,2,
Chris Mazur,6,9,1,2,
Misha Horowitz,7,2,,5,
Austin Raymond,8,,,,1
Husayn Carnegie,9,,2,1,2
Isaiah Bryant,10,3,1,1,2
Eric Rathbun,11,,1,,1
Joe Ouellette,14,1,2,1,1
Seth Canetti,18,0,0,0,0
Joe Anderson,21,,5,1,2
Will Murphy,22,,,,3
John Korber,23,1,8,,
Dan Casey,24,1,1,,
Andrew Bosco,26,1,1,2,
Ben Weyers,28,0,0,0,0
Steven Glauser,42,,,4,
Lucas Murphy,47,1,1,1,
Kamil Skwarek,48,0,0,0,0
Rafe Steinhauer,51,3,,3,
Garrett Santi,66,0,0,0,0
Matt Tomasko,67,,2,,
Matt Baum,81,0,0,0,0
,,,,,
TOTALS,,29,29,31,14
Points Against,,23,,,
